,speaker,dialogue,sentences,sentiment,entities,tokens
313,Erik Selvig,What about the backups?,"[{'content': u'What about the backups?', 'begin': 0, 'score': -0.3, 'magnitude': 0.3}]","{'score': -0.3, 'magnitude': 0.3}","[{'salience': 1, 'meta': {}, 'type': u'OTHER', 'name': u'backups', 'mentions': [u'backups']}]","[{'index': 0, 'begin': 0, 'pos': u'PRON', 'label': u'ROOT', 'content': u'What', 'lemma': u'What'}, {'index': 0, 'begin': 5, 'pos': u'ADP', 'label': u'PREP', 'content': u'about', 'lemma': u'about'}, {'index': 3, 'begin': 11, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 1, 'begin': 15, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'backups', 'lemma': u'backup'}, {'index': 0, 'begin': 22, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}]"
314,Jane Foster,They took our backups. They took the backups of our backups. They were extremely thorough.,"[{'content': u'They took our backups.', 'begin': 0, 'score': 0, 'magnitude': 0}, {'content': u'They took the backups of our backups.', 'begin': 23, 'score': 0, 'magnitude': 0}, {'content': u'They were extremely thorough.', 'begin': 61, 'score': 0.6, 'magnitude': 0.6}]","{'score': 0.2, 'magnitude': 0.7}","[{'salience': 0.90225655, 'meta': {}, 'type': u'OTHER', 'name': u'backups', 'mentions': [u'backups', u'backups']}, {'salience': 0.09774344, 'meta': {}, 'type': u'OTHER', 'name': u'backups', 'mentions': [u'backups']}]","[{'index': 1, 'begin': 0, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'They', 'lemma': u'They'}, {'index': 1, 'begin': 5, 'pos': u'VERB', 'label': u'ROOT', 'content': u'took', 'lemma': u'take'}, {'index': 3, 'begin': 10, 'pos': u'PRON', 'label': u'POSS', 'content': u'our', 'lemma': u'our'}, {'index': 1, 'begin': 14, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'backups', 'lemma': u'backup'}, {'index': 1, 'begin': 21, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 6, 'begin': 23, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'They', 'lemma': u'They'}, {'index': 6, 'begin': 28, 'pos': u'VERB', 'label': u'ROOT', 'content': u'took', 'lemma': u'take'}, {'index': 8, 'begin': 33, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 6, 'begin': 37, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'backups', 'lemma': u'backup'}, {'index': 8, 'begin': 45, 'pos': u'ADP', 'label': u'PREP', 'content': u'of', 'lemma': u'of'}, {'index': 11, 'begin': 48, 'pos': u'PRON', 'label': u'POSS', 'content': u'our', 'lemma': u'our'}, {'index': 9, 'begin': 52, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'backups', 'lemma': u'backup'}, {'index': 6, 'begin': 59, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 14, 'begin': 61, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'They', 'lemma': u'They'}, {'index': 14, 'begin': 66, 'pos': u'VERB', 'label': u'ROOT', 'content': u'were', 'lemma': u'be'}, {'index': 16, 'begin': 71, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'extremely', 'lemma': u'extremely'}, {'index': 14, 'begin': 81, 'pos': u'ADJ', 'label': u'ACOMP', 'content': u'thorough', 'lemma': u'thorough'}, {'index': 14, 'begin': 89, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]"
315,Darcy Lewis,Just downloaded like thirty songs onto there.,"[{'content': u'Just downloaded like thirty songs onto there.', 'begin': 0, 'score': 0, 'magnitude': 0}]","{'score': 0, 'magnitude': 0}","[{'salience': 1, 'meta': {}, 'type': u'WORK_OF_ART', 'name': u'songs', 'mentions': [u'songs']}]","[{'index': 1, 'begin': 0, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'Just', 'lemma': u'Just'}, {'index': 1, 'begin': 5, 'pos': u'VERB', 'label': u'ROOT', 'content': u'downloaded', 'lemma': u'download'}, {'index': 1, 'begin': 16, 'pos': u'ADP', 'label': u'PREP', 'content': u'like', 'lemma': u'like'}, {'index': 4, 'begin': 21, 'pos': u'NUM', 'label': u'NUM', 'content': u'thirty', 'lemma': u'thirty'}, {'index': 2, 'begin': 28, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'songs', 'lemma': u'song'}, {'index': 1, 'begin': 34, 'pos': u'ADP', 'label': u'PREP', 'content': u'onto', 'lemma': u'onto'}, {'index': 5, 'begin': 39, 'pos': u'ADV', 'label': u'POBJ', 'content': u'there', 'lemma': u'there'}, {'index': 1, 'begin': 44, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]"
316,Jane Foster,"Could you please, stop with your iPod!","[{'content': u'Could you please, stop with your iPod!', 'begin': 0, 'score': 0.1, 'magnitude': 0.1}]","{'score': 0.1, 'magnitude': 0.1}","[{'salience': 1, 'meta': {}, 'type': u'CONSUMER_GOOD', 'name': u'iPod', 'mentions': [u'iPod']}]","[{'index': 4, 'begin': 0, 'pos': u'VERB', 'label': u'AUX', 'content': u'Could', 'lemma': u'Could'}, {'index': 4, 'begin': 6, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'you', 'lemma': u'you'}, {'index': 4, 'begin': 10, 'pos': u'X', 'label': u'DISCOURSE', 'content': u'please', 'lemma': u'please'}, {'index': 4, 'begin': 16, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 4, 'begin': 18, 'pos': u'VERB', 'label': u'ROOT', 'content': u'stop', 'lemma': u'stop'}, {'index': 4, 'begin': 23, 'pos': u'ADP', 'label': u'PREP', 'content': u'with', 'lemma': u'with'}, {'index': 7, 'begin': 28, 'pos': u'PRON', 'label': u'POSS', 'content': u'your', 'lemma': u'your'}, {'index': 5, 'begin': 33, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'iPod', 'lemma': u'iPod'}, {'index': 4, 'begin': 37, 'pos': u'PUNCT', 'label': u'P', 'content': u'!', 'lemma': u'!'}]"
317,Sif,"All-Father, we must speak with you urgently!","[{'content': u'All-Father, we must speak with you urgently!', 'begin': 0, 'score': 0.3, 'magnitude': 0.3}]","{'score': 0.3, 'magnitude': 0.3}","[{'salience': 1, 'meta': {}, 'type': u'PERSON', 'name': u'Father', 'mentions': [u'Father']}]","[{'index': 2, 'begin': 0, 'pos': u'NOUN', 'label': u'NN', 'content': u'All', 'lemma': u'All'}, {'index': 2, 'begin': 3, 'pos': u'PUNCT', 'label': u'P', 'content': u'-', 'lemma': u'-'}, {'index': 6, 'begin': 4, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'Father', 'lemma': u'Father'}, {'index': 6, 'begin': 10, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 6, 'begin': 12, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'we', 'lemma': u'we'}, {'index': 6, 'begin': 15, 'pos': u'VERB', 'label': u'AUX', 'content': u'must', 'lemma': u'must'}, {'index': 6, 'begin': 20, 'pos': u'VERB', 'label': u'ROOT', 'content': u'speak', 'lemma': u'speak'}, {'index': 6, 'begin': 26, 'pos': u'ADP', 'label': u'PREP', 'content': u'with', 'lemma': u'with'}, {'index': 7, 'begin': 31, 'pos': u'PRON', 'label': u'POBJ', 'content': u'you', 'lemma': u'you'}, {'index': 6, 'begin': 35, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'urgently', 'lemma': u'urgently'}, {'index': 6, 'begin': 43, 'pos': u'PUNCT', 'label': u'P', 'content': u'!', 'lemma': u'!'}]"
318,narrator,they suddenly see Loki sitting in Odin's throne,"[{'content': u""they suddenly see Loki sitting in Odin's throne"", 'begin': 0, 'score': -0.2, 'magnitude': 0.2}]","{'score': -0.2, 'magnitude': 0.2}","[{'salience': 0.4885084, 'meta': {}, 'type': u'OTHER', 'name': u'throne', 'mentions': [u'throne']}, {'salience': 0.32432187, 'meta': {u'mid': u'/m/04kyc', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Loki'}, 'type': u'PERSON', 'name': u'Loki', 'mentions': [u'Loki']}, {'salience': 0.18716973, 'meta': {u'mid': u'/m/01p56f', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Odin'}, 'type': u'PERSON', 'name': u'Odin', 'mentions': [u'Odin']}]","[{'index': 2, 'begin': 0, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'they', 'lemma': u'they'}, {'index': 2, 'begin': 5, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'suddenly', 'lemma': u'suddenly'}, {'index': 2, 'begin': 14, 'pos': u'VERB', 'label': u'ROOT', 'content': u'see', 'lemma': u'see'}, {'index': 4, 'begin': 18, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'Loki', 'lemma': u'Loki'}, {'index': 2, 'begin': 23, 'pos': u'VERB', 'label': u'XCOMP', 'content': u'sitting', 'lemma': u'sit'}, {'index': 4, 'begin': 31, 'pos': u'ADP', 'label': u'PREP', 'content': u'in', 'lemma': u'in'}, {'index': 8, 'begin': 34, 'pos': u'NOUN', 'label': u'POSS', 'content': u'Odin', 'lemma': u'Odin'}, {'index': 6, 'begin': 38, 'pos': u'PRT', 'label': u'PS', 'content': u""'s"", 'lemma': u""'s""}, {'index': 5, 'begin': 41, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'throne', 'lemma': u'throne'}]"
319,Loki,My friends.,"[{'content': u'My friends.', 'begin': 0, 'score': 0.4, 'magnitude': 0.4}]","{'score': 0.4, 'magnitude': 0.4}","[{'salience': 1, 'meta': {}, 'type': u'PERSON', 'name': u'friends', 'mentions': [u'friends']}]","[{'index': 1, 'begin': 0, 'pos': u'PRON', 'label': u'POSS', 'content': u'My', 'lemma': u'My'}, {'index': 1, 'begin': 3, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'friends', 'lemma': u'friend'}, {'index': 1, 'begin': 10, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]"
320,Fandral,Where's Odin?,"[{'content': u""Where's Odin?"", 'begin': 0, 'score': -0.4, 'magnitude': 0.4}]","{'score': -0.4, 'magnitude': 0.4}","[{'salience': 1, 'meta': {}, 'type': u'PERSON', 'name': u'Odin', 'mentions': [u'Odin']}]","[{'index': 1, 'begin': 0, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'Where', 'lemma': u'Where'}, {'index': 1, 'begin': 5, 'pos': u'VERB', 'label': u'ROOT', 'content': u""'s"", 'lemma': u'be'}, {'index': 1, 'begin': 8, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'Odin', 'lemma': u'Odin'}, {'index': 1, 'begin': 12, 'pos': u'PUNCT', 'label': u'P', 'content': u'?', 'lemma': u'?'}]"
321,Loki,Father has fallen into the Odinsleep. Mother fears he may never awaken again.,"[{'content': u'Father has fallen into the Odinsleep.', 'begin': 0, 'score': 0, 'magnitude': 0}, {'content': u'Mother fears he may never awaken again.', 'begin': 38, 'score': 0.7, 'magnitude': 0.7}]","{'score': 0.3, 'magnitude': 0.8}","[{'salience': 0.76581794, 'meta': {}, 'type': u'PERSON', 'name': u'Father', 'mentions': [u'Father']}, {'salience': 0.12791155, 'meta': {}, 'type': u'OTHER', 'name': u'Odinsleep', 'mentions': [u'Odinsleep']}, {'salience': 0.106270485, 'meta': {}, 'type': u'PERSON', 'name': u'Mother', 'mentions': [u'Mother']}]","[{'index': 2, 'begin': 0, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'Father', 'lemma': u'Father'}, {'index': 2, 'begin': 7, 'pos': u'VERB', 'label': u'AUX', 'content': u'has', 'lemma': u'have'}, {'index': 2, 'begin': 11, 'pos': u'VERB', 'label': u'ROOT', 'content': u'fallen', 'lemma': u'fall'}, {'index': 2, 'begin': 18, 'pos': u'ADP', 'label': u'PREP', 'content': u'into', 'lemma': u'into'}, {'index': 5, 'begin': 23, 'pos': u'DET', 'label': u'DET', 'content': u'the', 'lemma': u'the'}, {'index': 3, 'begin': 27, 'pos': u'NOUN', 'label': u'POBJ', 'content': u'Odinsleep', 'lemma': u'Odinsleep'}, {'index': 2, 'begin': 36, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 8, 'begin': 38, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'Mother', 'lemma': u'Mother'}, {'index': 8, 'begin': 45, 'pos': u'VERB', 'label': u'ROOT', 'content': u'fears', 'lemma': u'fear'}, {'index': 12, 'begin': 51, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'he', 'lemma': u'he'}, {'index': 12, 'begin': 54, 'pos': u'VERB', 'label': u'AUX', 'content': u'may', 'lemma': u'may'}, {'index': 12, 'begin': 58, 'pos': u'ADV', 'label': u'NEG', 'content': u'never', 'lemma': u'never'}, {'index': 8, 'begin': 64, 'pos': u'VERB', 'label': u'CCOMP', 'content': u'awaken', 'lemma': u'awaken'}, {'index': 12, 'begin': 71, 'pos': u'ADV', 'label': u'ADVMOD', 'content': u'again', 'lemma': u'again'}, {'index': 8, 'begin': 76, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]"
322,Sif,We would speak with her.,"[{'content': u'We would speak with her.', 'begin': 0, 'score': 0.1, 'magnitude': 0.1}]","{'score': 0.1, 'magnitude': 0.1}",[],"[{'index': 2, 'begin': 0, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'We', 'lemma': u'We'}, {'index': 2, 'begin': 3, 'pos': u'VERB', 'label': u'AUX', 'content': u'would', 'lemma': u'would'}, {'index': 2, 'begin': 9, 'pos': u'VERB', 'label': u'ROOT', 'content': u'speak', 'lemma': u'speak'}, {'index': 2, 'begin': 15, 'pos': u'ADP', 'label': u'PREP', 'content': u'with', 'lemma': u'with'}, {'index': 3, 'begin': 20, 'pos': u'PRON', 'label': u'POBJ', 'content': u'her', 'lemma': u'her'}, {'index': 2, 'begin': 23, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]"
323,Loki,She has refused to leave my father's bedside. You can bring your urgent matter to me.,"[{'content': u""She has refused to leave my father's bedside."", 'begin': 0, 'score': -0.2, 'magnitude': 0.2}, {'content': u'You can bring your urgent matter to me.', 'begin': 46, 'score': 0, 'magnitude': 0}]","{'score': -0.1, 'magnitude': 0.3}","[{'salience': 0.59646684, 'meta': {}, 'type': u'OTHER', 'name': u'bedside', 'mentions': [u'bedside']}, {'salience': 0.31189218, 'meta': {}, 'type': u'PERSON', 'name': u'father', 'mentions': [u'father']}, {'salience': 0.09164096, 'meta': {}, 'type': u'OTHER', 'name': u'matter', 'mentions': [u'matter']}]","[{'index': 2, 'begin': 0, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'She', 'lemma': u'She'}, {'index': 2, 'begin': 4, 'pos': u'VERB', 'label': u'AUX', 'content': u'has', 'lemma': u'have'}, {'index': 2, 'begin': 8, 'pos': u'VERB', 'label': u'ROOT', 'content': u'refused', 'lemma': u'refuse'}, {'index': 4, 'begin': 16, 'pos': u'PRT', 'label': u'AUX', 'content': u'to', 'lemma': u'to'}, {'index': 2, 'begin': 19, 'pos': u'VERB', 'label': u'XCOMP', 'content': u'leave', 'lemma': u'leave'}, {'index': 6, 'begin': 25, 'pos': u'PRON', 'label': u'POSS', 'content': u'my', 'lemma': u'my'}, {'index': 8, 'begin': 28, 'pos': u'NOUN', 'label': u'POSS', 'content': u'father', 'lemma': u'father'}, {'index': 6, 'begin': 34, 'pos': u'PRT', 'label': u'PS', 'content': u""'s"", 'lemma': u""'s""}, {'index': 4, 'begin': 37, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'bedside', 'lemma': u'bedside'}, {'index': 2, 'begin': 44, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}, {'index': 12, 'begin': 46, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'You', 'lemma': u'You'}, {'index': 12, 'begin': 50, 'pos': u'VERB', 'label': u'AUX', 'content': u'can', 'lemma': u'can'}, {'index': 12, 'begin': 54, 'pos': u'VERB', 'label': u'ROOT', 'content': u'bring', 'lemma': u'bring'}, {'index': 15, 'begin': 60, 'pos': u'PRON', 'label': u'POSS', 'content': u'your', 'lemma': u'your'}, {'index': 15, 'begin': 65, 'pos': u'ADJ', 'label': u'AMOD', 'content': u'urgent', 'lemma': u'urgent'}, {'index': 12, 'begin': 72, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'matter', 'lemma': u'matter'}, {'index': 12, 'begin': 79, 'pos': u'ADP', 'label': u'PREP', 'content': u'to', 'lemma': u'to'}, {'index': 16, 'begin': 82, 'pos': u'PRON', 'label': u'POBJ', 'content': u'me', 'lemma': u'me'}, {'index': 12, 'begin': 84, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]"
324,narrator,he stands,"[{'content': u'he stands', 'begin': 0, 'score': 0.2, 'magnitude': 0.2}]","{'score': 0.2, 'magnitude': 0.2}",[],"[{'index': 1, 'begin': 0, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'he', 'lemma': u'he'}, {'index': 1, 'begin': 3, 'pos': u'VERB', 'label': u'ROOT', 'content': u'stands', 'lemma': u'stand'}]"
325,Loki,Your King.,"[{'content': u'Your King.', 'begin': 0, 'score': 0.1, 'magnitude': 0.1}]","{'score': 0.1, 'magnitude': 0.1}","[{'salience': 1, 'meta': {}, 'type': u'PERSON', 'name': u'King', 'mentions': [u'King']}]","[{'index': 1, 'begin': 0, 'pos': u'PRON', 'label': u'POSS', 'content': u'Your', 'lemma': u'Your'}, {'index': 1, 'begin': 5, 'pos': u'NOUN', 'label': u'ROOT', 'content': u'King', 'lemma': u'King'}, {'index': 1, 'begin': 9, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]"
326,narrator,they bow,"[{'content': u'they bow', 'begin': 0, 'score': 0.1, 'magnitude': 0.1}]","{'score': 0.1, 'magnitude': 0.1}",[],"[{'index': 1, 'begin': 0, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'they', 'lemma': u'they'}, {'index': 1, 'begin': 5, 'pos': u'VERB', 'label': u'ROOT', 'content': u'bow', 'lemma': u'bow'}]"
327,Sif,"My King, we would ask that you end Thor's banishment.","[{'content': u""My King, we would ask that you end Thor's banishment."", 'begin': 0, 'score': 0.3, 'magnitude': 0.3}]","{'score': 0.3, 'magnitude': 0.3}","[{'salience': 0.7818946, 'meta': {}, 'type': u'PERSON', 'name': u'King', 'mentions': [u'King']}, {'salience': 0.1723199, 'meta': {}, 'type': u'OTHER', 'name': u'banishment', 'mentions': [u'banishment']}, {'salience': 0.045785464, 'meta': {u'mid': u'/m/0fl9gg', u'wikipedia_url': u'http://en.wikipedia.org/wiki/Thor_(Marvel_Comics)'}, 'type': u'PERSON', 'name': u'Thor', 'mentions': [u'Thor']}]","[{'index': 1, 'begin': 0, 'pos': u'PRON', 'label': u'POSS', 'content': u'My', 'lemma': u'My'}, {'index': 5, 'begin': 3, 'pos': u'NOUN', 'label': u'NSUBJ', 'content': u'King', 'lemma': u'King'}, {'index': 5, 'begin': 7, 'pos': u'PUNCT', 'label': u'P', 'content': u',', 'lemma': u','}, {'index': 5, 'begin': 9, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'we', 'lemma': u'we'}, {'index': 5, 'begin': 12, 'pos': u'VERB', 'label': u'AUX', 'content': u'would', 'lemma': u'would'}, {'index': 5, 'begin': 18, 'pos': u'VERB', 'label': u'ROOT', 'content': u'ask', 'lemma': u'ask'}, {'index': 8, 'begin': 22, 'pos': u'ADP', 'label': u'MARK', 'content': u'that', 'lemma': u'that'}, {'index': 8, 'begin': 27, 'pos': u'PRON', 'label': u'NSUBJ', 'content': u'you', 'lemma': u'you'}, {'index': 5, 'begin': 31, 'pos': u'VERB', 'label': u'CCOMP', 'content': u'end', 'lemma': u'end'}, {'index': 11, 'begin': 35, 'pos': u'NOUN', 'label': u'POSS', 'content': u'Thor', 'lemma': u'Thor'}, {'index': 9, 'begin': 39, 'pos': u'PRT', 'label': u'PS', 'content': u""'s"", 'lemma': u""'s""}, {'index': 8, 'begin': 42, 'pos': u'NOUN', 'label': u'DOBJ', 'content': u'banishment', 'lemma': u'banishment'}, {'index': 5, 'begin': 52, 'pos': u'PUNCT', 'label': u'P', 'content': u'.', 'lemma': u'.'}]"
